idMedal,descMedal,descTypeMedal
1,Membro Premium,MEDAL
2,Elite,MEDAL
3,Membro Plus,MEDAL
4,Bom Comportamento,MEDAL
5,Já conquistou 25 Vitórias,MEDAL
6,Pilar da Comunidade,MEDAL
7,Já conquistou 10 Vitórias,MEDAL
8,Tribo Gaules,MEDAL
9,Terminou o tutorial da Gamers Club,MEDAL
10,Bomberman 1,MEDAL
11,Clutch Master 1,MEDAL
12,Fast Trigger 1,MEDAL
13,Invictus 1,MEDAL
14,King Of Lobby 1,MEDAL
15,Eu participei - Perfil Made In Brazil,MEDAL
16,Horas Verificadas,MEDAL
17,Bomberman 2,MEDAL
18,Clutch Master 2,MEDAL
19,Fast Trigger 2,MEDAL
20,Invictus 2,MEDAL
21,King Of Lobby 2,MEDAL
22,Brotherhood,MEDAL
23,Bomberman 3,MEDAL
24,Fast Trigger 3,MEDAL
25,Invictus 3,MEDAL
26,King Of Lobby 3,MEDAL
27,Fast Trigger 4,MEDAL
28,King Of Lobby 4,MEDAL
29,Prime,MEDAL
30,Rookie,MEDAL
31,Legend,MEDAL
32,Gamers Club Awards 2019 - Eu Votei,MEDAL
33,Aspirante,MEDAL
34,2k20 na Cabeça,MEDAL
35,Experiência de Batalha,MEDAL
36,Safe do Safe,MEDAL
37,Missão da Tribo,MEDAL
38,Closed Beta - X1,MEDAL
39,GamersCard - Silver,MEDAL
40,Fogueira,MEDAL
41,Pescaria,MEDAL
42,Coins - Eu participei do BETA GOLD!,MEDAL
43,Coins - Eu participei do BETA SILVER!,MEDAL
44,Sobreviventes,MEDAL
45,#YADINHO - Eu Fui!,MEDAL
46,Pedra Violeta,MEDAL
47,PIN Black Friday 2021,PIN
